artist,album,date,week_num,meta_score,user_score
Wadada Leo Smith,Ten Freedom Summers,"May 22, 2012",21,81,87
The Menzingers,On the Impossible Past,"February 21, 2012",8,81,87
Frank Ocean,Channel Orange,"July 17, 2012",29,81,87
Kendrick Lamar,"Good Kid, M.A.A.D City","October 22, 2012",43,81,87
Fiona Apple,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,"June 19, 2012",25,81,87
Vijay Iyer Trio,Accelerando,"March 13, 2012",11,81,87
Tame Impala,Lonerism,"October 9, 2012",41,81,87
Sweet Billy Pilgrim,Crown and Treaty,"April 16, 2012",16,81,87
Converge,All We Love We Leave Behind,"October 9, 2012",41,81,87
Moritz von Oswald Trio,Fetch,"July 3, 2012",27,81,87
Shackleton,Music For the Quiet Hour/The Drawbar Organ EPs,"December 4, 2012",49,81,87
Swans,The Seer,"August 28, 2012",35,81,87
Goat,World Music,"August 20, 2012",34,81,87
Staff Benda Bilili,Bouger le Monde!,"September 4, 2012",36,81,87
Pig Destroyer,Book Burner,"October 22, 2012",43,81,87
Anaïs Mitchell,Young Man In America,"February 28, 2012",9,81,87
Bill Fay,Life Is People,"August 20, 2012",34,81,87
Miguel,Kaleidoscope Dream,"October 2, 2012",40,81,87
Andy Stott,Luxury Problems,"November 6, 2012",45,81,87
Dwight Yoakam,3 Pears,"September 18, 2012",38,81,87
Deftones,Koi No Yokan,"November 13, 2012",46,81,87
Grizzly Bear,Shields,"September 18, 2012",38,81,87
Dr. John,Locked Down,"April 3, 2012",14,81,87
Gojira,L'Enfant Sauvage,"June 26, 2012",26,81,87
Billy Bragg/Wilco,Mermaid Avenue: The Complete Sessions,"April 21, 2012",16,81,87
Rumer,Seasons of My Soul,"January 24, 2012",4,81,87
High on Fire,De Vermis Mysteriis,"April 3, 2012",14,81,87
Jessie Ware,Devotion,"August 20, 2012",34,81,87
Leonard Cohen,Old Ideas,"January 31, 2012",5,81,87
Led Zeppelin,Celebration Day [Live],"November 19, 2012",47,81,87
Matthew E. White,Big Inner,"August 21, 2012",34,81,87
Brad Mehldau Trio,Ode,"March 20, 2012",12,81,87
Goldfrapp,The Singles,"February 7, 2012",6,81,87
