artist,album,date,week_num,meta_score,user_score
Kendrick Lamar,To Pimp A Butterfly,"March 16, 2015",12,81,76
Sufjan Stevens,Carrie & Lowell,"March 31, 2015",14,81,76
Sleater-Kinney,No Cities to Love,"January 20, 2015",4,81,76
Napalm Death,Apex Predator - Easy Meat,"January 27, 2015",5,81,76
Sam Lee,The Fade in Time,"March 16, 2015",12,81,76
Steven Wilson,Hand.Cannot.Erase.,"March 3, 2015",10,81,76
Joanna Newsom,Divers,"October 23, 2015",43,81,76
Courtney Barnett,"Sometimes I Sit And Think, And Sometimes I Just Sit","March 24, 2015",13,81,76
Bring Me the Horizon,That's the Spirit,"September 11, 2015",37,81,76
Mbongwana Star,From Kinshasa,"May 19, 2015",21,81,76
Grimes,Art Angels,"December 11, 2015",50,81,76
James McMurtry,Complicated Game,"February 24, 2015",9,81,76
Julia Holter,Have You in My Wilderness,"September 25, 2015",39,81,76
Jason Isbell,Something More Than Free,"July 17, 2015",29,81,76
John Howard & The Night Mail,John Howard & the Night Mail,"August 21, 2015",34,81,76
Susanne Sundfør,Ten Love Songs,"February 16, 2015",8,81,76
Hiatus Kaiyote,Choose Your Weapon,"May 4, 2015",19,81,76
Hop Along,Painted Shut,"May 4, 2015",19,81,76
Vince Staples,Summertime '06,"June 30, 2015",27,81,76
Björk,Vulnicura,"January 20, 2015",4,81,76
Father John Misty,"I Love You, Honeybear","February 10, 2015",7,81,76
Various Artists,Remembering Mountains: Unheard Songs By Karen Dalton,"May 26, 2015",22,81,76
Jamie xx,In Colour,"June 2, 2015",23,81,76
Dave Rawlings Machine,Nashville Obsolete,"September 18, 2015",38,81,76
Natalie Prass,Natalie Prass,"January 27, 2015",5,81,76
Jlin,Dark Energy,"March 24, 2015",13,81,76
Ashley Monroe,The Blade,"July 24, 2015",30,81,76
Drive-By Truckers,It's Great to Be Alive! [Live],"October 30, 2015",44,81,76
Various Artists,Joy of Living: A Tribute to Ewan Maccoll,"October 30, 2015",44,81,76
Jim O'Rourke,Simple Songs,"May 19, 2015",21,81,76
Donnie Trumpet & The Social Experiment,Surf,"May 29, 2015",22,81,76
Destroyer,Poison Season,"August 28, 2015",35,81,76
Protomartyr,The Agent Intellect,"October 9, 2015",41,81,76
Jazmine Sullivan,Reality Show,"January 13, 2015",3,81,76
Christine and the Queens,Christine and the Queens,"October 16, 2015",42,81,76
The Weather Station,Loyalty,"May 12, 2015",20,81,76
Baroness,Purple,"December 18, 2015",51,81,76
Joan Shelley,Over and Even,"September 4, 2015",36,81,76
Bassekou Kouyate & Ngoni Ba,Ba Power,"May 12, 2015",20,81,76
Pusha T,King Push - Darkest Before Dawn: The Prelude,"December 18, 2015",51,81,76
Floating Points,Elaenia,"November 6, 2015",45,81,76
C Duncan,Architect,"July 17, 2015",29,81,76
Deafheaven,New Bermuda,"October 2, 2015",40,81,76
Stornoway,Bonxie,"April 13, 2015",16,81,76
Levon Vincent,Levon Vincent,"February 10, 2015",7,81,76
Lightning Bolt,Fantasy Empire,"March 24, 2015",13,81,76
Rhiannon Giddens,Tomorrow Is My Turn,"February 10, 2015",7,81,76
Mini Mansions,The Great Pretenders,"March 24, 2015",13,81,76
Haiku Salut,Etch And Etch Deep,"July 31, 2015",31,81,76
Bop English,Constant Bop,"April 14, 2015",16,81,76
Eric Church,Mr. Misunderstood,"November 3, 2015",45,81,76
Allison Moorer,Down to Believing,"March 17, 2015",12,81,76
Miguel,Wildheart,"June 29, 2015",27,81,76
Tame Impala,Currents,"July 17, 2015",29,81,76
Dwight Yoakam,Second Hand Heart,"April 14, 2015",16,81,76
Godspeed You! Black Emperor,"Asunder, Sweet and Other Distress","March 31, 2015",14,81,76
Heather Leigh,I Abused Animal,"November 27, 2015",48,81,76
The Bad Plus,The Bad Plus Joshua Redman,"May 26, 2015",22,81,76
Boz Scaggs,A Fool to Care,"March 31, 2015",14,81,76
BC Camplight,How to Die in the North,"January 20, 2015",4,81,76
Kamasi Washington,The Epic,"May 5, 2015",19,81,76
Gwenno,Y Dydd Olaf,"July 31, 2015",31,81,76
LoneLady,Hinterland,"March 24, 2015",13,81,76
Speedy Ortiz,Foil Deer,"April 21, 2015",17,81,76
Young Fathers,White Men Are Black Men Too,"April 7, 2015",15,81,76
Container,LP [2015],"June 9, 2015",24,81,76
Songhoy Blues,Music in Exile,"February 23, 2015",9,81,76
Gretchen Peters,Blackbirds,"February 10, 2015",7,81,76
Royal Headache,High,"August 21, 2015",34,81,76
Myrkur,M,"August 21, 2015",34,81,76
Wilco,Star Wars,"July 16, 2015",29,81,76
Visionist,Safe,"October 9, 2015",41,81,76
Ryley Walker,Primrose Green,"March 31, 2015",14,81,76
Locrian,Infinite Dissolution,"July 24, 2015",30,81,76
Kurt Vile,B'lieve I'm Goin' Down,"September 25, 2015",39,81,76
Anna von Hausswolff,The Miraculous,"November 13, 2015",46,81,76
Patty Griffin,Servant of Love,"September 25, 2015",39,81,76
Dan Friel,Life,"October 16, 2015",42,81,76
Panda Bear,Panda Bear Meets the Grim Reaper,"January 13, 2015",3,81,76
High on Fire,Luminiferous,"June 16, 2015",25,81,76
Zun Zun Egui,Shackles Gift,"January 27, 2015",5,81,76
"Roebuck ""Pops"" Staples",Don't Lose This,"February 17, 2015",8,81,76
Prurient,Frozen Niagara Falls,"May 12, 2015",20,81,76
Coliseum,Anxiety's Kiss,"May 5, 2015",19,81,76
Bob Dylan,Shadows in the Night,"February 3, 2015",6,81,76
Bill Wells,The Most Important Place in the World,"March 16, 2015",12,81,76
The Pre New,Male Eunuch,"May 11, 2015",20,81,76
Empress Of,Me,"September 11, 2015",37,81,76
Dr. Dre,Compton,"August 7, 2015",32,81,76
Africa Express,Africa Express Presents...Terry Riley's In C Mali,"January 26, 2015",5,81,76
John Grant,"Grey Tickles, Black Pressure","October 9, 2015",41,81,76
M.E.S.H.,Piteous Gate,"July 31, 2015",31,81,76
Mount Eerie,Sauna,"February 3, 2015",6,81,76
Thee Oh Sees,Mutilator Defeated at Last,"May 26, 2015",22,81,76
Zu,Cortar Todo,"March 23, 2015",13,81,76
Gaz Coombes,Matador,"January 26, 2015",5,81,76
Tal National,Zoy Zoy,"April 13, 2015",16,81,76
Deerhunter,Fading Frontier,"October 16, 2015",42,81,76
Sarah Neufeld,Never Were the Way She Was,"April 28, 2015",18,81,76
Lindi Ortega,Faded Gloryville,"August 7, 2015",32,79,0
Samba Touré,Gandadiko,"February 3, 2015",6,79,0
Waxahatchee,Ivy Tripp,"April 7, 2015",15,79,0
No Joy,More Faithful,"June 9, 2015",24,79,0
Evans the Death,Expect Delays,"March 10, 2015",11,79,0
Lady Lamb the Beekeeper,After,"March 3, 2015",10,79,0
Daniel Romano,If I've Only One Time Askin',"July 31, 2015",31,79,0
Holly Herndon,Platform,"May 19, 2015",21,79,0
Tobias Jesso Jr.,Goon,"March 17, 2015",12,79,0
Torres,Sprinter,"May 5, 2015",19,79,0
Laura Marling,Short Movie,"March 24, 2015",13,79,0
Arca,Mutant,"November 20, 2015",47,79,0
Sleaford Mods,Key Markets,"July 24, 2015",30,79,0
Earl Sweatshirt,I Don't Like Shit: I Don't Go Outside,"March 23, 2015",13,79,0
Paul Weller,Saturn's Pattern,"May 19, 2015",21,79,0
Teeth of the Sea,Highly Deadly Black Tarantula,"November 13, 2015",46,79,0
Sunn O))),Kannon,"December 4, 2015",49,79,0
The Internet,Ego Death,"June 29, 2015",27,79,0
