artist,album,date,week_num,meta_score,user_score
Kendrick Lamar,DAMN.,"April 14, 2017",15,82,0
Mount Eerie,A Crow Looked at Me,"March 24, 2017",12,82,0
Lorde,Melodrama,"June 16, 2017",24,82,0
Converge,The Dusk in Us,"November 3, 2017",44,82,0
Creeper,"Eternity, In Your Arms","March 24, 2017",12,82,0
Jlin,Black Origami,"May 19, 2017",20,82,0
Vince Staples,Big Fish Theory,"June 23, 2017",25,82,0
Valerie June,The  Order of Time,"March 10, 2017",10,82,0
St. Vincent,Masseduction,"October 13, 2017",41,82,0
Brand New,Science Fiction,"August 19, 2017",33,82,0
Fever Ray,Plunge,"October 27, 2017",43,82,0
Rapsody,Laila’s Wisdom,"September 22, 2017",38,82,0
Oxbow,The Thin Black Duke,"May 5, 2017",18,82,0
Charly Bliss,Guppy,"April 21, 2017",16,82,0
Arca,Arca,"April 7, 2017",14,82,0
Circuit des Yeux,Reaching for Indigo,"October 20, 2017",42,82,0
The Horrors,V,"September 22, 2017",38,82,0
SZA,CTRL,"June 9, 2017",23,82,0
Power Trip,Nightmare Logic,"February 24, 2017",8,82,0
Vijay Iyer,Far from Over,"August 25, 2017",34,82,0
The Replacements,For Sale: Live at Maxwell's 1986,"October 6, 2017",40,82,0
Four Tet,New Energy,"September 29, 2017",39,82,0
Gas,Narkopop,"April 21, 2017",16,82,0
Sampha,Process,"February 3, 2017",5,82,0
Magnetic Fields,50 Song Memoir,"March 10, 2017",10,82,0
Paul Weller,A Kind Revolution,"May 12, 2017",19,82,0
Tinariwen,Elwan,"February 10, 2017",6,82,0
Rodney Crowell,Close Ties,"March 31, 2017",13,82,0
Sharon Jones & the Dap-Kings,Soul of a Woman,"November 17, 2017",46,82,0
LCD Soundsystem,American Dream,"September 1, 2017",35,82,0
PVRIS,"All We Know of Heaven, All We Need of Hell","August 25, 2017",34,82,0
Algiers,The Underside of Power,"June 23, 2017",25,82,0
Bedouine,Bedouine,"June 23, 2017",25,82,0
Protomartyr,Relatives in Descent,"September 29, 2017",39,82,0
The National,Sleep Well Beast,"September 8, 2017",36,82,0
The xx,I See You,"January 13, 2017",2,82,0
Moses Sumney,Aromanticism,"September 22, 2017",38,82,0
The Moonlandingz,Interplanetary Class Classics,"March 24, 2017",12,82,0
Laura Marling,Semper Femina,"March 10, 2017",10,82,0
The Weather Station,The Weather Station,"October 6, 2017",40,82,0
Father John Misty,Pure Comedy,"April 7, 2017",14,82,0
Ryuichi Sakamoto,async,"April 28, 2017",17,82,0
Pwr Bttm,Pageant,"May 12, 2017",19,82,0
Young Thug,Beautiful Thugger Girls,"June 16, 2017",24,82,0
Aimee Mann,Mental Illness,"March 31, 2017",13,82,0
Godflesh,Post Self,"November 17, 2017",46,82,0
Karine Polwart,A Pocket of Wind Resistance,"November 17, 2017",46,82,0
"Tyler, The Creator",Flower Boy,"July 21, 2017",29,82,0
Seamus Fogarty,The Curious Hand,"October 6, 2017",40,82,0
Alan Vega,It,"July 14, 2017",28,82,0
Laurel Halo,Dust,"June 23, 2017",25,82,0
Perfume Genius,No Shape,"May 5, 2017",18,82,0
Juana Molina,Halo,"May 5, 2017",18,82,0
Loyle Carner,Yesterday's Gone,"January 20, 2017",3,82,0
Robert Plant,Carry Fire,"October 13, 2017",41,82,0
J Hus,Common Sense,"May 12, 2017",19,82,0
Juliana Hatfield,Pussycat,"April 28, 2017",17,82,0
Nadia Reid,Preservation,"March 3, 2017",9,82,0
William Basinski,A Shadow in Time,"January 20, 2017",3,82,0
