artist,album,date,week_num,meta_score,user_score
Nick Cave & the Bad Seeds,Skeleton Tree,"September 9, 2016",36,82,76
Beyoncé,Lemonade,"April 23, 2016",16,82,76
Leonard Cohen,You Want It Darker,"October 21, 2016",42,82,76
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,"November 11, 2016",45,82,76
Chance the Rapper,Coloring Book [Mixtape],"May 13, 2016",19,82,76
Solange,A Seat at the Table,"September 30, 2016",39,82,76
Drive-By Truckers,American Band,"September 30, 2016",39,82,76
Radiohead,A Moon Shaped Pool,"May 8, 2016",18,82,76
Run the Jewels,Run the Jewels 3,"December 25, 2016",51,82,76
Common,Black America Again,"November 4, 2016",44,82,76
Robbie Fulks,Upland Stories,"April 1, 2016",13,82,76
David Bowie,Blackstar,"January 8, 2016",1,82,76
Angel Olsen,My Woman,"September 2, 2016",35,82,76
Frank Ocean,Blonde,"August 20, 2016",33,82,76
Mitski,Puberty 2,"June 17, 2016",24,82,76
NAILS,You Will Never Be One of Us,"June 17, 2016",24,82,76
Bon Iver,"22, A Million","September 30, 2016",39,82,76
Ital Tek,Hollowed,"March 18, 2016",11,82,76
Sturgill Simpson,A Sailor's Guide to Earth,"April 15, 2016",15,82,76
Michael Kiwanuka,Love & Hate,"July 15, 2016",28,82,76
Maxwell,blackSUMMERS'night (2016),"July 1, 2016",26,82,76
Ian William Craig,Centres,"July 8, 2016",27,82,76
Car Seat Headrest,Teens of Denial,"May 20, 2016",20,82,76
The Dillinger Escape Plan,Dissociation,"October 14, 2016",41,82,76
Margo Price,Midwest Farmer's Daughter,"March 25, 2016",12,82,76
William Bell,This Is Where I Live,"June 3, 2016",22,82,76
Teho Teardo,Nerissimo,"April 22, 2016",16,82,76
Kendrick Lamar,untitled unmastered.,"March 4, 2016",9,82,76
Paul Simon,Stranger to Stranger,"June 3, 2016",22,82,76
Neurosis,Fires Within Fires,"September 23, 2016",38,82,76
Anderson .Paak,Malibu,"January 15, 2016",2,82,76
Danny Brown,Atrocity Exhibition,"September 27, 2016",39,82,76
The Hotelier,Goodness,"May 27, 2016",21,82,76
Aesop Rock,The Impossible Kid,"April 29, 2016",17,82,76
John K. Samson,Winter Wheat,"October 21, 2016",42,82,76
Kevin Morby,Singing Saw,"April 15, 2016",15,82,76
Kate Bush,Before the Dawn [Live],"December 2, 2016",48,82,76
Esperanza Spalding,Emily's D+Evolution,"March 4, 2016",9,82,76
Nels Cline,Lovers,"August 5, 2016",31,82,76
Loretta Lynn,Full Circle,"March 4, 2016",9,82,76
Kate Tempest,Let Them Eat Chaos,"October 7, 2016",40,82,76
Touché Amoré,Stage Four,"September 16, 2016",37,82,76
Virginia Wing,Forward Constant Motion,"November 11, 2016",45,82,76
Pinegrove,Cardinal,"February 12, 2016",6,82,76
Jenny Hval,Blood Bitch,"September 30, 2016",39,82,76
