artist,album,date,week_num,meta_score,user_score
Noname,Room 25,"September 14, 2018",37,83,78
Rolo Tomassi,Time Will Die and Love Will Bury It,"March 2, 2018",9,83,78
Architects,Holy Hell,"November 9, 2018",45,83,78
Robyn,Honey,"October 26, 2018",43,83,78
Yves Tumor,Safe In The Hands Of Love,"September 5, 2018",36,83,78
Christine and the Queens,Chris,"September 21, 2018",38,83,78
Kacey Musgraves,Golden Hour,"March 30, 2018",13,83,78
Rival Consoles,Persona,"April 13, 2018",15,83,78
Jeff Rosenstock,POST-,"March 23, 2018",12,83,78
Idles,Joy As an Act of Resistance,"August 31, 2018",35,83,78
Behemoth,I Loved You at Your Darkest,"October 5, 2018",40,83,78
Marianne Faithfull,Negative Capability,"November 2, 2018",44,83,78
Janelle Monáe,Dirty Computer,"April 27, 2018",17,83,78
Car Seat Headrest,Twin Fantasy,"February 16, 2018",7,83,78
Hookworms,Microshift,"February 2, 2018",5,83,78
Alela Diane,Cusp,"February 9, 2018",6,83,78
Objekt,Cocoon Crush,"November 9, 2018",45,83,78
Daughters,You Won't Get What You Want,"October 26, 2018",43,83,78
Mitski,Be the Cowboy,"August 17, 2018",33,83,78
Serpentwithfeet,Soil,"June 8, 2018",23,83,78
U.S. Girls,In a Poem Unlimited,"February 16, 2018",7,83,78
Young Fathers,Cocoa Sugar,"March 9, 2018",10,83,78
Amen Dunes,Freedom,"March 30, 2018",13,83,78
Kali Uchis,Isolation,"April 6, 2018",14,83,78
Bruce Springsteen,Springsteen on Broadway,"December 14, 2018",50,83,78
SOPHIE,Oil Of Every Pearl's Un-Insides,"June 15, 2018",24,83,78
Ashley Monroe,Sparrow,"April 20, 2018",16,83,78
Tracyanne & Danny,Tracyanne & Danny,"May 25, 2018",21,83,78
Hot Snakes,Jericho Sirens,"March 16, 2018",11,83,78
Angélique Kidjo,Remain In Light,"June 8, 2018",23,83,78
Kamasi Washington,Heaven & Earth,"June 22, 2018",25,83,78
Mélissa Laveaux,Radyo Siwèl,"March 23, 2018",12,83,78
Low,Double Negative,"September 14, 2018",37,83,78
Amanda Shires,To the Sunset,"August 3, 2018",31,83,78
Mount Eerie,(After) [Live],"September 21, 2018",38,83,78
Pusha T,DAYTONA,"May 25, 2018",21,83,78
Jonny Greenwood,Phantom Thread [Original Motion Picture Soundtrack],"February 9, 2018",6,83,78
Earl Sweatshirt,Some Rap Songs,"November 30, 2018",48,83,78
Screaming Females,All at Once,"February 23, 2018",8,83,78
DJ Koze,Knock Knock,"May 4, 2018",18,83,78
Alva Noto,Glass,"February 16, 2018",7,83,78
BROCKHAMPTON,Iridescence,"September 21, 2018",38,83,78
Deafheaven,Ordinary Corrupt Human Love,"July 13, 2018",28,83,78
Marie Davidson,Working Class Woman,"October 5, 2018",40,83,78
Ezra Furman,Transangelic Exodus,"February 9, 2018",6,83,78
Bettye LaVette,Things Have Changed,"March 30, 2018",13,83,78
Let's Eat Grandma,I'm All Ears,"June 29, 2018",26,83,78
Neko Case,Hell-On,"June 1, 2018",22,83,78
Pistol Annies,Interstate Gospel,"November 2, 2018",44,83,78
Sarah Davachi,Gave in Rest,"September 14, 2018",37,83,78
Laurie Anderson,Landfall,"February 16, 2018",7,83,78
Virginia Wing,Ecstatic Arrow,"June 8, 2018",23,83,78
Travis Scott,Astroworld,"August 3, 2018",31,83,78
Troye Sivan,Bloom,"August 31, 2018",35,83,78
Spiritualized,And Nothing Hurt,"September 7, 2018",36,83,78
Jeff Tweedy,Warm,"November 30, 2018",48,83,78
No Age,Snares Like a Haircut,"January 26, 2018",4,83,78
Richard Swift,The Hex,"September 21, 2018",38,83,78
Kids See Ghosts,Kids See Ghosts,"June 8, 2018",23,83,78
Lonnie Holley,MITH,"September 21, 2018",38,83,78
Willie Nelson,Last Man Standing,"April 27, 2018",17,83,78
