artist,album,date,meta_score,user_score
Noname,Room 25,"September 14, 2018",93,84
Rolo Tomassi,Time Will Die and Love Will Bury It,"March 2, 2018",92,72
Architects,Holy Hell,"November 9, 2018",90,89
Robyn,Honey,"October 26, 2018",89,85
Yves Tumor,Safe In The Hands Of Love,"September 5, 2018",89,79
Christine and the Queens,Chris,"September 21, 2018",89,79
Kacey Musgraves,Golden Hour,"March 30, 2018",89,87
Rival Consoles,Persona,"April 13, 2018",88,78
Jeff Rosenstock,POST-,"March 23, 2018",88,78
Idles,Joy As an Act of Resistance,"August 31, 2018",88,82
Behemoth,I Loved You at Your Darkest,"October 5, 2018",88,80
Marianne Faithfull,Negative Capability,"November 2, 2018",88,80
Janelle Monáe,Dirty Computer,"April 27, 2018",87,86
Car Seat Headrest,Twin Fantasy,"February 16, 2018",87,86
Hookworms,Microshift,"February 2, 2018",87,78
Alela Diane,Cusp,"February 9, 2018",87,80
Objekt,Cocoon Crush,"November 9, 2018",87,72
Daughters,You Won't Get What You Want,"October 26, 2018",87,86
Mitski,Be the Cowboy,"August 17, 2018",87,84
Serpentwithfeet,Soil,"June 8, 2018",87,79
U.S. Girls,In a Poem Unlimited,"February 16, 2018",87,83
Young Fathers,Cocoa Sugar,"March 9, 2018",87,87
Amen Dunes,Freedom,"March 30, 2018",87,82
Kali Uchis,Isolation,"April 6, 2018",87,87
Bruce Springsteen,Springsteen on Broadway,"December 14, 2018",87,78
SOPHIE,Oil Of Every Pearl's Un-Insides,"June 15, 2018",86,83
Ashley Monroe,Sparrow,"April 20, 2018",86,66
Tracyanne & Danny,Tracyanne & Danny,"May 25, 2018",86,73
Hot Snakes,Jericho Sirens,"March 16, 2018",86,79
Angélique Kidjo,Remain In Light,"June 8, 2018",86,80
Kamasi Washington,Heaven & Earth,"June 22, 2018",86,80
Mélissa Laveaux,Radyo Siwèl,"March 23, 2018",86,0
Low,Double Negative,"September 14, 2018",86,80
Amanda Shires,To the Sunset,"August 3, 2018",86,74
Mount Eerie,(After) [Live],"September 21, 2018",86,0
Pusha T,DAYTONA,"May 25, 2018",86,85
Jonny Greenwood,Phantom Thread [Original Motion Picture Soundtrack],"February 9, 2018",86,81
Earl Sweatshirt,Some Rap Songs,"November 30, 2018",86,84
Screaming Females,All at Once,"February 23, 2018",86,78
DJ Koze,Knock Knock,"May 4, 2018",85,80
Alva Noto,Glass,"February 16, 2018",85,76
BROCKHAMPTON,Iridescence,"September 21, 2018",85,79
Deafheaven,Ordinary Corrupt Human Love,"July 13, 2018",85,80
Marie Davidson,Working Class Woman,"October 5, 2018",85,78
Ezra Furman,Transangelic Exodus,"February 9, 2018",85,80
Bettye LaVette,Things Have Changed,"March 30, 2018",85,73
Let's Eat Grandma,I'm All Ears,"June 29, 2018",85,81
Neko Case,Hell-On,"June 1, 2018",85,77
Pistol Annies,Interstate Gospel,"November 2, 2018",85,82
Sarah Davachi,Gave in Rest,"September 14, 2018",85,0
Laurie Anderson,Landfall,"February 16, 2018",85,69
Virginia Wing,Ecstatic Arrow,"June 8, 2018",85,78
Travis Scott,Astroworld,"August 3, 2018",85,80
Troye Sivan,Bloom,"August 31, 2018",85,82
Spiritualized,And Nothing Hurt,"September 7, 2018",84,78
Jeff Tweedy,Warm,"November 30, 2018",84,80
No Age,Snares Like a Haircut,"January 26, 2018",84,79
Richard Swift,The Hex,"September 21, 2018",84,67
Kids See Ghosts,Kids See Ghosts,"June 8, 2018",84,86
Lonnie Holley,MITH,"September 21, 2018",84,0
Willie Nelson,Last Man Standing,"April 27, 2018",84,77
The Necks,Body,"August 17, 2018",84,0
CupcakKe,Ephorize,"January 5, 2018",84,87
Rolling Blackouts Coastal Fever,Hope Downs,"June 15, 2018",84,80
Proc Fiskal,Insula,"June 8, 2018",84,0
Cardi B,Invasion of Privacy,"April 6, 2018",84,57
Jon Hopkins,Singularity,"May 4, 2018",84,82
Sleep,The Sciences,"April 20, 2018",84,79
Stephen Malkmus & the Jicks,Sparkle Hard,"May 18, 2018",84,78
The Breeders,All Nerve,"March 2, 2018",84,73
Jon Hassell,Listening to Pictures (Pentimento Volume I),"June 8, 2018",84,76
Miya Folick,Premonitions,"October 26, 2018",84,77
Blood Orange,Negro Swan,"August 24, 2018",84,81
Eleanor Friedberger,Rebound,"May 4, 2018",84,76
Chilly Gonzales,Solo Piano III,"September 7, 2018",84,0
Laurel Halo,Raw Silk Uncut Wood,"July 13, 2018",84,80
Anna Calvi,Hunter,"August 31, 2018",84,80
Jean Grae,Everything's Fine,"April 27, 2018",84,85
Daniel Avery,Song for Alpha,"April 6, 2018",84,73
Ty Segall,Freedom's Goblin,"January 26, 2018",84,80
Alexander Tucker,Don't Look Away,"August 24, 2018",84,0
Jlin,Autobiography,"September 28, 2018",83,71
Thou,Magus,"August 31, 2018",83,75
Julia Holter,Aviary,"October 26, 2018",83,80
Lucrecia Dalt,Anticlines,"May 4, 2018",83,0
Elvis Costello & the Imposters,Look Now,"October 12, 2018",83,74
Fucked Up,Dose Your Dreams,"October 5, 2018",83,76
nao,Saturn,"October 26, 2018",83,81
Ry Cooder,The Prodigal Son,"May 11, 2018",83,68
Caroline Rose,Loner,"February 23, 2018",83,79
Iceage,Beyondless,"May 4, 2018",83,81
Nils Frahm,All Melody,"January 26, 2018",83,81
Go-Kart Mozart,Mozart's Mini-Mart,"February 23, 2018",83,72
Stick in the Wheel,Follow Them True,"January 26, 2018",83,76
The Beths,Future Me Hates Me,"August 10, 2018",83,84
High on Fire,Electric Messiah,"October 5, 2018",83,76
Public Access T.V.,Street Safari,"February 23, 2018",83,73
Father John Misty,God's Favorite Customer,"June 1, 2018",83,80
Shame,Songs of Praise,"January 12, 2018",83,78
Oneohtrix Point Never,Age Of,"June 1, 2018",83,78
The 1975,A  Brief Inquiry into Online Relationships,"November 30, 2018",83,82
Adrianne Lenker,Abysskiss,"October 5, 2018",83,82
Szun Waves,New Hymn to Freedom,"August 31, 2018",83,77
Superchunk,What a Time to Be Alive,"February 16, 2018",83,79
Cowboy Junkies,All That Reckoning,"July 13, 2018",83,76
The Internet,Hive Mind,"July 20, 2018",83,80
Sarah Shook & the Disarmers,Years,"April 6, 2018",82,0
Half Waif,Lavender,"April 27, 2018",82,83
Helena Hauff,Qualm,"August 3, 2018",82,75
Gruff Rhys,Babelsberg,"June 8, 2018",82,82
Camp Cope,How to Socialise & Make Friends,"March 2, 2018",82,77
The Bevis Frond,"We're Your Friends, Man","December 7, 2018",82,0
Dilly Dally,Heaven,"September 14, 2018",82,75
Tomberlin,At Weddings,"August 10, 2018",82,63
Wreckless Eric,Construction Time & Demolition,"April 6, 2018",82,0
Mount Eerie,Now Only,"March 16, 2018",82,79
Laura Veirs,The Lookout,"April 13, 2018",82,81
Parquet Courts,Wide Awake!,"May 18, 2018",82,81
YOB,Our Raw Heart,"June 8, 2018",82,80
