artist,album,date,meta_score,user_score
Ry Cooder,Pull Up Some Dust and Sit Down,"August 29, 2011",92,69
Saigon,The Greatest Story Never Told,"February 15, 2011",89,83
Phonte,Charity Starts at Home,"September 27, 2011",88,79
Tom Waits,Bad as Me,"October 25, 2011",88,79
The Roots,Undun,"December 6, 2011",88,87
Thursday,No Devolucion,"April 12, 2011",88,86
9th Wonder,The Wonder Years,"September 27, 2011",87,70
Wolves in the Throne Room,Celestial Lineage,"September 13, 2011",87,83
The Weeknd,House of Balloons,"March 21, 2011",87,90
PJ Harvey,Let England Shake,"February 15, 2011",86,86
tUnE-yArDs,Who Kill,"April 19, 2011",86,81
Bon Iver,Bon Iver,"June 21, 2011",86,86
Mara Carlyle,Floreat,"August 30, 2011",86,0
Nicolas Jaar,Space Is Only Noise,"January 28, 2011",86,85
Raphael Saadiq,Stone Rollin',"May 10, 2011",86,82
Russian Circles,Empros,"October 25, 2011",86,86
Tim Hecker,"Ravedeath, 1972","February 15, 2011",86,83
Fucked Up,David Comes To Life,"June 7, 2011",86,79
Ambrose Akinmusire,When the Heart Emerges Glistening,"April 5, 2011",85,0
Kate Bush,50 Words for Snow,"November 21, 2011",85,85
Iceage,New Brigade,"June 21, 2011",85,82
Paul Simon,So Beautiful or So What,"April 12, 2011",85,82
Fleet Foxes,Helplessness Blues,"May 3, 2011",85,89
Wild Beasts,Smother,"May 10, 2011",85,84
St. Vincent,Strange Mercy,"September 13, 2011",85,89
Gillian Welch,The  Harrow and the Harvest,"June 28, 2011",85,77
Astronautalis,This Is Our Science,"September 13, 2011",85,81
Destroyer,Kaputt,"January 25, 2011",84,88
Lydia Loveless,Indestructible Machine,"September 13, 2011",84,0
Pistol Annies,Hell On Heels,"August 23, 2011",84,88
Joe Lovano Us Five,Bird Songs,"January 11, 2011",84,0
Dave Alvin,Eleven Eleven,"June 20, 2011",84,0
True Widow,A.H.A.T.H.H.A.F.T.C.T.T.C.O.T.E.,"March 29, 2011",84,0
The Office of Future Plans,The  Office of Future Plans,"November 21, 2011",84,0
The Black Keys,El Camino,"December 6, 2011",84,86
