artist,album,date,meta_score,user_score
Fiona Apple,Fetch the Bolt Cutters,17-Apr-20,98,81
Bob Dylan,Rough and Rowdy Ways,19-Jun-20,95,76
Perfume Genius,Set My Heart on Fire Immediately,15-May-20,91,85
Creeper,"Sex, Death & The Infinite Void",31-Jul-20,91,77
Phoebe Bridgers,Punisher,18-Jun-20,90,89
Moses Sumney,græ,15-May-20,90,85
Run the Jewels,RTJ4,3-Jun-20,89,90
Rina Sawayama,Sawayama,17-Apr-20,89,91
BC Camplight,Shortly After Takeoff,24-Apr-20,89,79
HAIM,"Women in Music, Pt. III",26-Jun-20,89,85
Gil Scott-Heron,We're New Again - A Reimagining by Makaya McCraven,7-Feb-20,89,80
Taylor Swift,Folklore,24-Jul-20,88,91
Laura Marling,Song for Our Daughter,10-Apr-20,88,87
Dua Lipa,Future Nostalgia,27-Mar-20,88,88
Waxahatchee,Saint Cloud,27-Mar-20,88,78
Yves Tumor,Heaven to a Tortured Mind,3-Apr-20,88,81
Freddie Gibbs,Alfredo,29-May-20,88,85
Bruce Springsteen,Letter to You,23-Oct-20,88,84
Neil Young,Homegrown,19-Jun-20,88,78
Mystery Jets,A Billion Heartbeats,3-Apr-20,87,85
The Microphones,Microphones in 2020,7-Aug-20,87,83
Crack Cloud,Pain Olympics,17-Jul-20,87,82
Beatrice Dillon,Workaround,7-Feb-20,87,67
Headie One,Edna,9-Oct-20,87,87
Deftones,Ohms,25-Sep-20,87,89
The Soft Pink Truth,Shall We Go on Sinning So That Grace May Increase?,1-May-20,87,78
Fleet Foxes,Shore,22-Sep-20,87,88
PVRIS,Use Me,28-Aug-20,87,82
Róisín Murphy,Róisín Machine,2-Oct-20,86,91
Baxter Dury,The Night Chancers,20-Mar-20,86,87
J Hus,Big Conspiracy,24-Jan-20,86,76
Shirley Collins,Heart's Ease,24-Jul-20,86,0
Porridge Radio,Every Bad,13-Mar-20,86,80
Jarv Is...,Beyond the Pale,17-Jul-20,86,77
This Is the Kit,Off Off On,23-Oct-20,86,0
Frazey Ford,U Kin B The Sun,7-Feb-20,86,80
Napalm Death,Throes of Joy in the Jaws of Defeatism,18-Sep-20,86,0
Nadine Shah,Kitchen Sink,26-Jun-20,86,71
Owen Pallett,Island,22-May-20,86,79
Megan Thee Stallion,Good News,20-Nov-20,86,67
Bill Callahan,Gold Record,4-Sep-20,86,85
The James Hunter Six,Nick of Time,6-Mar-20,85,86
Mary Lattimore,Silver Ladders,9-Oct-20,85,85
Lomelda,Hannah,4-Sep-20,85,89
Oumou Sangare,Acoustic,19-Jun-20,85,0
Lilly Hiatt,Walking Proof,27-Mar-20,85,82
Jeff Rosenstock,No Dream,20-May-20,85,75
Katie Gately,Loom,14-Feb-20,85,87
Laura Veirs,My Echo,23-Oct-20,85,80
Fontaines D.C.,A Hero's Death,31-Jul-20,84,81
Max Richter,Voices,31-Jul-20,84,0
Pallbearer,Forgotten Days,23-Oct-20,84,72
Jyoti,"Mama, You Can Bet!",28-Aug-20,84,0
Biffy Clyro,A Celebration of Endings,14-Aug-20,84,83
Bob Mould,Blue Hearts,25-Sep-20,84,76
Kate NV,Room for the Moon,12-Jun-20,84,72
Blake Mills,Mutable Set,8-May-20,84,83
Thundercat,It Is What It Is,3-Apr-20,84,79
Everything Everything,RE-ANIMATOR,11-Sep-20,84,84
Bill Fay,Countless Branches,17-Jan-20,84,71
Kelly Lee Owens,Inner Song,28-Aug-20,84,84
William Basinski,Lamentations,13-Nov-20,84,0
Sonic Boom,All Things Being Equal,5-Jun-20,84,0
Coriky,Coriky,26-Jun-20,84,77
No Joy,Motherhood,21-Aug-20,84,0
Code Orange,Underneath,13-Mar-20,84,85
Lil Uzi Vert,Eternal Atake,6-Mar-20,84,71
Adrianne Lenker,songs and instrumentals,23-Oct-20,84,85
Caribou,Suddenly,28-Feb-20,84,80
Jessie Ware,What's Your Pleasure?,26-Jun-20,84,90
Lucinda Williams,Good Souls Better Angels,24-Apr-20,84,87
Charley Crockett,Welcome to Hard Times,31-Jul-20,84,55
Shabaka & the Ancestors,We Are Sent Here by History,13-Mar-20,84,77
Ohmme,Fantasize Your Ghost,5-Jun-20,83,0
Hayley Williams,Petals for Armor,8-May-20,83,91
Ana Roxanne,Because of a Flower,13-Nov-20,83,0
Thurston Moore,By the Fire,25-Sep-20,83,78
Mac Miller,Circles,17-Jan-20,83,77
Brandy Clark,Your Life Is a Record,6-Mar-20,83,76
Touché Amoré,Lament,9-Oct-20,83,88
Childish Gambino,3.15.20,22-Mar-20,83,73
Angel Olsen,Whole New Mess,28-Aug-20,83,83
Moses Boyd,Dark Matter,14-Feb-20,83,84
Norah Jones,Pick Me Up Off the Floor,12-Jun-20,83,81
Nadia Reid,Out of My Province,6-Mar-20,83,77
The Cribs,Night Network,20-Nov-20,83,80
Working Men's Club,Working Men's Club,2-Oct-20,83,88
Ashley McBryde,Never Will,3-Apr-20,83,83
Rustin Man,Clockdust,27-Mar-20,83,0
The Dream Syndicate,The Universe Inside,10-Apr-20,83,0
Jay Electronica,A Written Testimony,13-Mar-20,83,76
Don Bryant,You Make Me Feel,19-Jun-20,83,0
Riz Ahmed,The Long Goodbye,6-Mar-20,83,0
Lianne La Havas,Lianne La Havas,17-Jul-20,83,85
Other Lives,For Their Love,24-Apr-20,83,78
Frances Quinlan,Likewise,31-Jan-20,83,66
James Dean Bradfield,Even in Exile,14-Aug-20,83,82
The Nude Party,Midnight Manor,2-Oct-20,83,0
Brigid Mae Power,Head Above the Water,5-Jun-20,82,0
Tony Allen,Rejoice,20-Mar-20,82,0
Sparks,"A Steady Drip, Drip, Drip",15-May-20,82,83
Sharon Jones & the Dap-Kings,Just Dropped In (To See What Condition My Rendition Was In),23-Oct-20,82,0
A.A. Williams,Forever Blue,3-Jul-20,82,0
Victoria Monét,Jaguar,7-Aug-20,82,89
Kiwi Jr.,Football Money,17-Jan-20,82,68
Throwing Muses,Sun Racket,4-Sep-20,82,0
Six Organs of Admittance,Companion Rises,21-Feb-20,82,86
Loma,Don't Shy Away,23-Oct-20,82,0
Charli XCX,how i'm feeling now,15-May-20,82,86
Jessie Reyez,Before Love Came To Kill Us,27-Mar-20,82,87
Cornershop,England Is a Garden,6-Mar-20,82,90
Autechre,SIGN,16-Oct-20,82,70
Conway the Machine,From King to a God,11-Sep-20,82,72
Paul Weller,On Sunset,3-Jul-20,82,79
The Chicks,Gaslighter,17-Jul-20,82,83
BTS,Map of the Soul: 7,21-Feb-20,82,94
Rufus Wainwright,Unfollow the Rules,10-Jul-20,82,87
Empress Of,I'm Your Empress Of,3-Apr-20,82,84
Steve Earle & the Dukes,Ghosts of West Virginia,22-May-20,82,0
Jason Isbell and the 400 Unit,Reunions,15-May-20,82,84
X,Alphabetland,1-May-20,82,0
OOIOO,Nijimusi,17-Jan-20,82,0
Protomartyr,Ultimate Success Today,17-Jul-20,82,84
Jessy Lanza,All the Time,24-Jul-20,82,73
U.S. Girls,Heavy Light,6-Mar-20,82,76
Soccer Mommy,color theory,28-Feb-20,81,82
Ruston Kelly,Shape & Destroy,28-Aug-20,81,0
Mark Lanegan,Straight Songs of Sorrow,8-May-20,81,80
Chloe x Halle,Ungodly Hour,12-Jun-20,81,90
Keleketla!,Keleketla!,3-Jul-20,81,0
Denzel Curry,UNLOCKED,7-Feb-20,81,80
Declan McKenna,Zeros,4-Sep-20,81,89
Shamir,Shamir,2-Oct-20,81,83
Dua Lipa,Club Future Nostalgia: The Remix Album,28-Aug-20,81,46
Bright Eyes,"Down in the Weeds, Where the World Once Was",21-Aug-20,81,77
Oneohtrix Point Never,Magic Oneohtrix Point Never,30-Oct-20,81,84
Chris Stapleton,Starting Over,13-Nov-20,81,84
Owen,The Avalanche,19-Jun-20,81,74
