artist,album,date,meta_score,user_score
Hurray for the Riff Raff,Small Town Heroes,"February 11, 2014",80,73
Elbow,The Take Off and Landing of Everything,"March 11, 2014",80,82
Tinashe,Aquarius,"October 7, 2014",80,88
Timber Timbre,Hot Dreams,"April 1, 2014",80,84
Kevin Morby,Still Life,"October 14, 2014",80,75
Pere Ubu,Carnival of Souls,"September 9, 2014",80,0
Grouper,Ruins,"October 31, 2014",80,83
Champs,Down Like Gold,"March 10, 2014",80,85
Joe Henry,Invisible Hour,"June 3, 2014",80,0
Jack White,Lazaretto,"June 10, 2014",80,80
Curtis Harding,Soul Power,"May 6, 2014",80,88
Todd Terje,It's Album Time,"April 8, 2014",79,86
Tony Molina,Dissed and Dismissed,"March 25, 2014",79,85
The New Pornographers,Brill Bruisers,"August 26, 2014",79,83
Nikki Lane,All or Nothin',"May 6, 2014",79,88
Willie Nelson,Band of Brothers,"June 17, 2014",79,72
Bahamas,Bahamas Is Afie,"August 19, 2014",79,88
Chrome,Feel It Like a Scientist,"August 5, 2014",79,0
Martin Carthy,The Moral of the Elephant,"June 17, 2014",79,0
(Sandy) Alex G,DSU,"November 10, 2014",79,83
Damien Jurado,Brothers and Sisters of the Eternal Son,"January 21, 2014",79,81
Freeman,Freeman,"July 22, 2014",79,84
Hozier,Hozier,"October 7, 2014",79,88
Gruff Rhys,American Interior,"November 4, 2014",79,75
Ultimate Painting,Ultimate Painting,"October 28, 2014",79,81
Hundred Waters,The Moon Rang Like a Bell,"May 27, 2014",79,83
Grumbling Fur,Preternaturals,"August 11, 2014",79,0
Naomi Shelton & the Gospel Queens,Cold World,"July 29, 2014",79,0
Old Crow Medicine Show,Remedy,"July 1, 2014",79,74
Big Freedia,Just Be Free,"June 17, 2014",79,0
Arca,Xen,"November 4, 2014",79,81
Roll the Dice,Until Silence,"June 2, 2014",79,0
Step Brothers,Lord Steppington,"January 21, 2014",79,74
Tweedy,Sukierae,"September 23, 2014",79,79
Fucked Up,Glass Boys,"June 3, 2014",79,75
The Both,The  Both,"April 15, 2014",79,71
Pat Metheny Unity Group,Kin <-->,"February 4, 2014",79,0
Jon Langford & Skull Orchard,Here Be Monsters,"April 1, 2014",79,0
Tim Wheeler,Lost Domain,"November 10, 2014",79,0
Cloud Nothings,Here and Nowhere Else,"April 1, 2014",79,84
Woods,With Light and With Love,"April 15, 2014",79,82
Dean Blunt,Black Metal,"November 4, 2014",79,83
Paolo Nutini,Caustic Love,"September 16, 2014",79,84
The Belle Brigade,Just Because,"March 25, 2014",78,0
Remember Remember,Forgetting the Present,"June 30, 2014",78,0
Field Report,Marigolden,"October 7, 2014",78,0
ScHoolboy Q,Oxymoron,"February 25, 2014",78,82
Broken Twin,May,"April 29, 2014",78,80
Arc Iris,Arc Iris,"April 1, 2014",78,79
Dead Rider,Chills on Glass,"March 18, 2014",78,0
Real Estate,Atlas,"March 4, 2014",78,79
Martyn,The Air Between Words,"June 17, 2014",78,0
Parquet Courts,Sunbathing Animal,"June 3, 2014",78,83
Ratking,So It Goes,"April 8, 2014",78,85
John Hiatt,Terms of My Surrender,"July 15, 2014",78,0
Ethan Johns,The Reckoning,"June 3, 2014",77,0
Archie Bronson Outfit,Wild Crush,"May 19, 2014",77,0
Koen Holtkamp,Motion: Connected Works,"March 25, 2014",77,0
Mazes,Wooden Aquarium,"September 8, 2014",77,0
Perfect Pussy,Say Yes to Love,"March 18, 2014",77,75
Purling Hiss,Weirdon,"September 23, 2014",76,0
Moire,Shelter,"August 26, 2014",76,0
Mogwai,Rave Tapes,"January 21, 2014",76,71
La Roux,Trouble in Paradise,"July 22, 2014",76,83
Paul Heaton & Jacqui Abbott,What Have We Become?,"May 12, 2014",76,0
Zammuto,Anchor,"September 2, 2014",76,74
Suzanne Vega,Tales from the Realm of the Queen of Pentacles,"February 18, 2014",76,72
CEO,Wonderland,"February 4, 2014",76,75
Cherry Ghost,Herd Runners,"May 20, 2014",76,81
Modern Baseball,You're Gonna Miss It All,"February 11, 2014",76,87
Roddy Frame,Seven Dials,"May 5, 2014",76,0
Eliza Gilkyson,The Nocturne Diaries,"March 17, 2014",76,0
Ekoplekz,Unfidelity,"March 11, 2014",76,0
J Mascis,Tied to a Star,"August 26, 2014",76,83
Rise Against,The Black Market,"July 15, 2014",76,77
Andrew Bird,"Things Are Really Great Here, Sort Of...","June 10, 2014",76,70
The New Mendicants,Into the Lime,"January 28, 2014",76,0
Wye Oak,Shriek,"April 29, 2014",76,74
Nick Mulvey,First Mind,"May 12, 2014",76,85
Jhené Aiko,Souled Out,"September 9, 2014",76,84
My Brightest Diamond,This Is My Hand,"September 16, 2014",76,72
Duck Sauce,Quack,"April 15, 2014",76,81
Ed Harcourt,Time of Dust,"January 6, 2014",76,57
Tombs,Savage Gold,"June 10, 2014",76,0
Fanfarlo,Let's Go Extinct,"February 11, 2014",76,73
Wand,Ganglion Reef,"August 26, 2014",76,0
D. Charles Speer & the Helix,Doubled Exposure,"February 25, 2014",76,0
Iceage,Plowing Into the Field of Love,"October 7, 2014",76,83
Damien Rice,My Favourite Faded Fantasy,"November 11, 2014",76,86
Bob Mould,Beauty & Ruin,"June 3, 2014",76,84
Parquet Courts,Content Nausea,"December 2, 2014",76,80
Leon Russell,Life Journey,"April 1, 2014",76,0
MØ,No Mythologies to Follow,"March 11, 2014",76,88
Goat,Commune,"September 23, 2014",76,83
Richard Thompson,Acoustic Classics,"July 22, 2014",76,0
Mark Kozelek,Sings Christmas Carols,"November 4, 2014",76,0
Sia,1000 Forms of Fear,"July 8, 2014",76,89
Seun Kuti & Egypt 80,A Long Way To the Beginning,"February 24, 2014",76,0
Pilgrim,II: Void Worship,"April 1, 2014",76,0
Gem Club,In Roses,"January 28, 2014",76,76
Alcest,Shelter,"January 21, 2014",76,81
The Underachievers,Cellar Door: Terminus Ut Exordium,"August 12, 2014",76,76
Dean Wareham,Dean Wareham,"March 11, 2014",76,0
Owl John,Owl John,"August 4, 2014",76,82
Taylor Swift,1989,"October 27, 2014",76,82
The Muffs,Whoop Dee Doo,"July 29, 2014",76,0
Taylor McFerrin,Early Riser,"June 3, 2014",76,79
Comet Gain,Paperback Ghosts,"July 7, 2014",76,0
Luluc,Passerby,"July 15, 2014",76,0
Parker Millsap,Parker Millsap,"February 4, 2014",76,0
Robyn,Do It Again,"May 26, 2014",76,84
Damon Albarn,Everyday Robots,"April 29, 2014",76,82
Lower,Seek Warmer Climes,"June 17, 2014",76,0
Mariachi El Bronx,Mariachi El Bronx (III),"November 4, 2014",75,0
Opeth,Pale Communion,"August 26, 2014",75,78
Allo Darlin',We Come from the Same Place,"October 7, 2014",75,0
Thompson,Family,"November 17, 2014",75,0
Chuck Ragan,Till Midnight,"March 25, 2014",75,0
Röyksopp,The  Inevitable End,"November 10, 2014",75,85
Wilko Johnson,Going Back Home,"April 8, 2014",75,0
The New Basement Tapes,Lost on the River,"November 10, 2014",75,85
Peggy Sue,Choir of Echoes,"January 28, 2014",75,68
Conor Oberst,Upside Down Mountain,"May 19, 2014",75,81
Scott H. Biram,Nothin' But Blood,"February 4, 2014",75,0
Gerard Way,Hesitant Alien,"September 30, 2014",75,85
Delta Spirit,Into the Wide,"September 9, 2014",75,80
Thurston Moore,The Best Day,"October 21, 2014",75,75
Charli XCX,Sucker,"December 16, 2014",75,78
Saint Saviour,In the Seams,"November 3, 2014",75,0
Museum of Love,Museum of Love,"October 14, 2014",75,0
Half Japanese,Overjoyed,"September 2, 2014",75,0
Hollie Cook,Twice,"June 10, 2014",75,77
Gallon Drunk,The Soul of the Hour,"March 10, 2014",75,0
Mark McGuire,Along the Way,"February 4, 2014",75,73
Death from Above 1979,The Physical World,"September 9, 2014",75,81
La Sera,Hour of the Dawn,"May 13, 2014",75,78
AC/DC,Rock or Bust,"December 2, 2014",75,80
Honeyblood,Honeyblood,"July 15, 2014",75,72
Braid,No Coast,"July 8, 2014",75,67
Morgan Delt,Morgan Delt,"January 28, 2014",75,74
Gunnar Örn Tynes,Palme,"September 29, 2014",75,0
Laibach,Spectre,"March 11, 2014",75,0
Twin Peaks,Wild Onion,"August 5, 2014",75,80
Liars,Mess,"March 25, 2014",75,81
Chet Faker,Built on Glass,"April 15, 2014",75,79
Simple Minds,Big Music,"November 24, 2014",75,88
Bo Ningen,III,"May 20, 2014",75,82
Einstürzende Neubauten,Lament,"November 10, 2014",75,0
King Gizzard & the Lizard Wizard,I'm in Your Mind Fuzz,"November 11, 2014",75,87
The Raveonettes,Pe'ahi,"July 22, 2014",75,77
TEEN,The  Way and Color,"April 22, 2014",75,0
Pulled Apart by Horses,Blood,"September 1, 2014",75,0
King Tuff,Black Moon Spell,"September 23, 2014",75,80
Vertical Scratchers,Daughter of Everything,"February 25, 2014",75,0
Ariel Pink,Pom Pom,"November 17, 2014",75,86
Oren Ambarchi,Shade Themes from Kairos,"May 20, 2014",75,0
The Notwist,Close to the Glass,"February 25, 2014",75,81
Dawn Landes,Bluebird,"February 18, 2014",75,0
Cibo Matto,Hotel Valentine,"February 14, 2014",75,72
London Grammar,If You Wait,"March 25, 2014",75,84
Ital,Endgame,"September 9, 2014",75,0
Greys,If Anything,"June 17, 2014",74,0
Sean Nicholas Savage,Bermuda Waterfall,"May 13, 2014",74,0
The Hold Steady,Teeth Dreams,"March 25, 2014",74,75
Warpaint,Warpaint,"January 21, 2014",74,74
Busdriver,Perfect Hair,"September 9, 2014",74,79
Counting Crows,Somewhere Under Wonderland,"September 2, 2014",74,78
Melvins,Hold It In,"October 14, 2014",74,0
Shovels & Rope,Swimmin' Time,"August 26, 2014",74,0
DJ Mustard,10 Summers,"August 25, 2014",74,57
Sondre Lerche,Please,"September 23, 2014",74,77
Meatbodies,Meatbodies,"October 14, 2014",74,0
Golden Retriever,Seer,"March 25, 2014",74,0
Jessie Ware,Tough Love,"October 21, 2014",74,85
Jon Porras,Light Divide,"March 25, 2014",74,0
Banks,Goddess,"September 9, 2014",74,85
Sloan,Commonwealth,"September 9, 2014",74,0
Stephen Malkmus & the Jicks,Wig Out at Jagbags,"January 7, 2014",74,79
Owls,Two,"March 25, 2014",74,0
The Horrors,Luminous,"May 6, 2014",74,72
Mary J. Blige,The London Sessions,"December 2, 2014",74,80
Medicine,Home Everywhere,"October 27, 2014",74,0
White Hinterland,Baby,"April 1, 2014",74,74
The Rural Alberta Advantage,Mended with Gold,"September 30, 2014",74,75
The Knife,Shaken Up Versions,"June 17, 2014",74,67
WIFE,What’s Between,"June 10, 2014",74,0
François & the Atlas Mountains,Piano Ombre,"March 17, 2014",74,0
To Rococo Rot,Instrument,"July 21, 2014",74,0
The Souljazz Orchestra,Inner Fire,"February 25, 2014",74,0
OFF!,Wasted Years,"April 8, 2014",74,78
Slow Club,Complete Surrender,"July 15, 2014",74,75
Plaid,Reachy Prints,"May 20, 2014",74,84
Ibibio Sound Machine,Ibibio Sound Machine,"April 1, 2014",74,0
Circulatory System,Mosaics Within Mosaics,"June 24, 2014",74,0
Mr. Mitch,Parallel Memories,"December 2, 2014",74,0
Judas Priest,Redeemer of Souls,"July 8, 2014",74,76
Stars,No One Is Lost,"October 14, 2014",74,66
Merchandise,After the End,"August 26, 2014",74,78
Sivu,Something on High,"October 6, 2014",74,0
Phantogram,Voices,"February 18, 2014",74,84
Pink Mountaintops,Get Back,"April 29, 2014",74,0
Quilt,Held in Splendor,"January 28, 2014",74,78
Hospitality,Trouble,"January 28, 2014",74,80
Katy B,Little Red,"February 3, 2014",74,86
Lana Del Rey,Ultraviolence,"June 17, 2014",74,85
Hamilton Leithauser,Black Hours,"June 3, 2014",74,81
The Afghan Whigs,Do To the Beast,"April 15, 2014",74,81
Eternal Summers,The  Drop Beneath,"March 4, 2014",74,0
Eagulls,Eagulls,"March 4, 2014",74,82
John Mellencamp,Plain Spoken,"September 23, 2014",74,0
+++ (Crosses),+++ (Crosses),"February 11, 2014",74,76
White Fence,For The Recently Found Innocent,"July 22, 2014",74,0
...And You Will Know Us by the Trail of Dead,IX,"November 11, 2014",74,82
Let's Wrestle,Let's Wrestle,"February 10, 2014",74,0
"Bonnie ""Prince"" Billy",Singer's Grave/A Sea of Tongues,"September 23, 2014",74,0
Lee Bains III & the Glory Fires,Dereconstructed,"May 27, 2014",74,0
Yann Tiersen,∞ (Infinity),"May 19, 2014",74,77
I Break Horses,Chiaroscuro,"January 21, 2014",74,79
Syd Arthur,Sound Mirror,"May 19, 2014",73,0
Horse Thief,Fear in Bliss,"April 15, 2014",73,0
Papercuts,Life Among the Savages,"May 6, 2014",73,0
Land Observations,The Grand Tour,"July 29, 2014",73,0
The Skull Defekts,Dances in Dreams of the Known and Unknown,"April 8, 2014",73,0
Pontiak,Innocence,"January 28, 2014",73,0
Justin Townes Earle,Single Mothers,"September 9, 2014",73,0
Open Mike Eagle,Dark Comedy,"June 10, 2014",73,86
Linda Perhacs,The  Soul of All Natural Things,"March 4, 2014",73,88
Avi Buffalo,At Best Cuckold,"September 9, 2014",73,90
Benmont Tench,You Should Be So Lucky,"February 18, 2014",73,0
Tomas Barfod,Love Me,"June 10, 2014",73,0
Natalie Merchant,Natalie Merchant,"May 6, 2014",73,82
clipping.,CLPPNG,"June 10, 2014",73,84
Nick Waterhouse,Holly,"March 4, 2014",73,0
Rancid,...Honor Is All We Know,"October 27, 2014",73,71
Tobacco,Ultima II Massage,"May 13, 2014",73,82
Rhyton,Kykeon,"November 18, 2014",73,0
Big Ups,Eighteen Hours of Static,"January 14, 2014",73,82
Twin Atlantic,The Great Divide,"August 19, 2014",73,60
Cold Specks,Neuroplasticity,"August 26, 2014",73,0
Stevie Nicks,24 Karat Gold: Songs from the Vault,"October 7, 2014",73,78
Beverly,Careers,"July 1, 2014",73,0
Peter Murphy,Lion,"June 3, 2014",73,0
Hercules & Love Affair,The Feast of the Broken Heart,"May 26, 2014",73,79
Pure X,Angel,"April 1, 2014",73,0
The Men,Tomorrow's Hits,"March 4, 2014",73,74
Metronomy,Love Letters,"March 11, 2014",73,76
Guardian Alien,Spiritual Emergency,"January 28, 2014",73,0
Iamamiwhoami,Blue,"November 11, 2014",73,86
Cymbals,The  Age of Fracture,"February 4, 2014",73,68
