artist,album,date,meta_score,user_score
Shabazz Palaces,Lese Majesty,"July 29, 2014",81,83
Hiss Golden Messenger,Lateness of Dancers,"September 9, 2014",81,80
Frazey Ford,Indian Ocean,"October 14, 2014",81,0
A Winged Victory for the Sullen,Atomos,"October 7, 2014",81,75
Sleaford Mods,Divide and Exit,"May 27, 2014",81,79
Jamie T,Carry on the Grudge,"September 30, 2014",81,86
Ty Segall,Manipulator,"August 26, 2014",81,81
Sturgill Simpson,Metamodern Sounds in Country Music,"May 13, 2014",81,82
Lone,Reality Testing,"June 17, 2014",81,81
Robert Plant & the Sensational Space Shifters,Lullaby and... The Ceaseless Roar,"September 9, 2014",81,77
Simone Felice,Strangers,"March 25, 2014",81,0
Kasai Allstars,Beware the Fetish,"June 24, 2014",81,0
Carlene Carter,Carter Girl,"April 8, 2014",81,0
Amen Dunes,Love,"May 13, 2014",81,78
Wildbirds & Peacedrums,Rhythm,"November 11, 2014",81,85
King Creosote,From Scotland with Love,"July 21, 2014",80,0
EMA,The  Future's Void,"April 8, 2014",80,80
Nickel Creek,A Dotted Line,"April 1, 2014",80,75
The Twilight Sad,No One Wants To Be Here and No One Wants To Leave,"October 28, 2014",80,86
Cory Branan,The  No-Hit Wonder,"August 19, 2014",80,0
The Body,I Shall Die Here,"April 1, 2014",80,88
Lee Gamble,Koch,"September 30, 2014",80,88
Tinariwen,Emmaar,"February 11, 2014",80,75
Future,Honest,"April 22, 2014",80,64
Sam Amidon,Lily-O,"September 30, 2014",80,0
John Fullbright,Songs,"May 27, 2014",80,75
Marianne Faithfull,Give My Love to London,"November 11, 2014",80,73
Holy Sons,The Fact Facer,"September 23, 2014",80,0
Earth,Primitive and Deadly,"September 2, 2014",80,0
Mary Gauthier,Trouble & Love,"June 10, 2014",80,0
Thee Oh Sees,Drop,"April 19, 2014",80,73
David Kilgour and the Heavy Eights,End Times Undone,"August 5, 2014",80,0
Hookworms,The Hum,"November 11, 2014",80,79
First Aid Kit,Stay Gold,"June 10, 2014",80,80
Bellowhead,Revival,"June 30, 2014",80,0
The Heliocentrics,Jaiyede Afro,"September 9, 2014",80,0
Pharmakon,Bestial Burden,"October 14, 2014",80,74
Mirel Wagner,When the Cellar Children See the Light of Day,"August 12, 2014",80,70
YG,My Krazy Life,"March 18, 2014",80,82
Wooden Wand,Farmer's Corner,"May 6, 2014",80,0
Anathema,Distant Satellites,"June 10, 2014",80,82
Black Bananas,Electric Brick Wall,"June 24, 2014",80,0
Sharon Jones & the Dap-Kings,Give the People What They Want,"January 14, 2014",80,72
