artist,album,date,meta_score,user_score
Nick Cave & the Bad Seeds,Skeleton Tree,"September 9, 2016",95,83
Beyoncé,Lemonade,"April 23, 2016",92,80
Leonard Cohen,You Want It Darker,"October 21, 2016",92,84
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,"November 11, 2016",91,88
Chance the Rapper,Coloring Book [Mixtape],"May 13, 2016",89,83
Solange,A Seat at the Table,"September 30, 2016",89,84
Drive-By Truckers,American Band,"September 30, 2016",88,80
Radiohead,A Moon Shaped Pool,"May 8, 2016",88,89
Run the Jewels,Run the Jewels 3,"December 25, 2016",88,88
Common,Black America Again,"November 4, 2016",88,73
Robbie Fulks,Upland Stories,"April 1, 2016",87,42
David Bowie,Blackstar,"January 8, 2016",87,89
Angel Olsen,My Woman,"September 2, 2016",87,85
Frank Ocean,Blonde,"August 20, 2016",87,89
Mitski,Puberty 2,"June 17, 2016",87,87
NAILS,You Will Never Be One of Us,"June 17, 2016",87,66
Bon Iver,"22, A Million","September 30, 2016",87,84
Ital Tek,Hollowed,"March 18, 2016",86,80
Sturgill Simpson,A Sailor's Guide to Earth,"April 15, 2016",86,81
Michael Kiwanuka,Love & Hate,"July 15, 2016",86,85
Maxwell,blackSUMMERS'night (2016),"July 1, 2016",86,84
Ian William Craig,Centres,"July 8, 2016",86,75
Car Seat Headrest,Teens of Denial,"May 20, 2016",86,84
The Dillinger Escape Plan,Dissociation,"October 14, 2016",86,81
Margo Price,Midwest Farmer's Daughter,"March 25, 2016",86,79
William Bell,This Is Where I Live,"June 3, 2016",86,82
Teho Teardo,Nerissimo,"April 22, 2016",86,72
Kendrick Lamar,untitled unmastered.,"March 4, 2016",86,83
Paul Simon,Stranger to Stranger,"June 3, 2016",85,80
Neurosis,Fires Within Fires,"September 23, 2016",85,73
Anderson .Paak,Malibu,"January 15, 2016",85,86
Danny Brown,Atrocity Exhibition,"September 27, 2016",85,87
The Hotelier,Goodness,"May 27, 2016",85,78
Aesop Rock,The Impossible Kid,"April 29, 2016",85,86
John K. Samson,Winter Wheat,"October 21, 2016",85,83
Kevin Morby,Singing Saw,"April 15, 2016",84,80
Kate Bush,Before the Dawn [Live],"December 2, 2016",84,85
Esperanza Spalding,Emily's D+Evolution,"March 4, 2016",84,78
Nels Cline,Lovers,"August 5, 2016",84,72
Loretta Lynn,Full Circle,"March 4, 2016",84,75
Kate Tempest,Let Them Eat Chaos,"October 7, 2016",84,79
Touché Amoré,Stage Four,"September 16, 2016",84,82
Virginia Wing,Forward Constant Motion,"November 11, 2016",84,0
Pinegrove,Cardinal,"February 12, 2016",84,81
Jenny Hval,Blood Bitch,"September 30, 2016",84,80
BJ the Chicago Kid,In My Mind,"February 19, 2016",84,73
Karl Blau,Introducing Karl Blau,"May 13, 2016",84,66
Anna Meredith,Varmints,"March 4, 2016",84,77
Little Simz,Stillness In Wonderland,"December 16, 2016",84,84
Helen Money,Become Zero,"September 16, 2016",84,0
Moodymann,DJ-Kicks,"February 19, 2016",83,78
Lambchop,FLOTUS,"November 4, 2016",83,81
Bob Mould,Patch the Sky,"March 25, 2016",83,74
Skepta,Konnichiwa,"May 6, 2016",83,78
Colin Stetson,Sorrow: Reimagining of Gorecki's 3rd Symphony,"April 8, 2016",83,78
Andy Shauf,The Party,"May 20, 2016",83,86
Whitney,Light Upon the Lake,"June 3, 2016",83,87
Kyle Dixon,"Stranger Things, Vol. 1 [Original Television Series Soundtrack]","August 12, 2016",83,83
King Gizzard & the Lizard Wizard,Nonagon Infinity,"April 29, 2016",83,88
Neko Case,case/lang/veirs,"June 17, 2016",83,79
YG,Still Brazy,"June 17, 2016",83,85
The Avalanches,Wildflower,"July 8, 2016",83,83
Damien Jurado,Visions of Us on the Land,"March 18, 2016",83,82
Lucinda Williams,The  Ghosts of Highway 20,"February 5, 2016",83,75
Freakwater,Scheherazade,"February 5, 2016",83,0
Emma Pollock,In Search of Harperfield,"February 26, 2016",83,70
Steve Gunn,Eyes on the Lines,"June 3, 2016",83,69
Adrian Younge,Something About April II,"January 22, 2016",83,77
Grant-Lee Philips,The Narrows,"March 18, 2016",83,52
Anohni,Hopelessness,"May 6, 2016",83,82
School of Seven Bells,SVIIB,"February 26, 2016",83,77
Greys,Outer Heaven,"April 22, 2016",83,64
King,We Are King,"February 5, 2016",83,79
Oren Ambarchi,Hubris,"October 28, 2016",83,0
Wadada Leo Smith,America's National Parks,"October 14, 2016",83,0
Flock of Dimes,"If You See Me, Say Yes","September 23, 2016",83,75
Nathan Bowles,Whole & Cloven,"September 2, 2016",83,0
The Rolling Stones,Blue and Lonesome,"December 2, 2016",82,74
Daniel Bachman,Daniel Bachman,"November 11, 2016",82,0
Future of the Left,The Peace & Truce of Future of the Left,"April 8, 2016",82,76
The Body,No One Deserves Happiness,"March 18, 2016",82,83
Blood Orange,Freetown Sound,"June 28, 2016",82,86
The Frightnrs,Nothing More to Say,"September 2, 2016",82,0
Tim Hecker,Love Streams,"April 8, 2016",82,81
Tindersticks,The Waiting Room,"January 22, 2016",82,75
Jessy Lanza,Oh No,"May 13, 2016",82,81
Hamilton Leithauser,I Had a Dream That You Were Mine,"September 23, 2016",82,83
nao,For All We Know,"July 29, 2016",82,84
Architects,All Our Gods Have Abandoned Us,"May 27, 2016",82,88
Agnes Obel,Citizen of Glass,"October 21, 2016",82,84
Andy Stott,Too Many Voices,"April 22, 2016",82,77
Alejandro Escovedo,Burn Something Beautiful,"October 28, 2016",82,0
Hi:Emotions,NOTU_URONLINEU,"October 14, 2016",82,0
Kaitlyn Aurelia Smith,Ears,"April 1, 2016",82,74
Romare,"Love Songs, Pt. 2","November 11, 2016",82,56
Xylouris White,Black Peak,"October 7, 2016",82,0
Shearwater,Jet Plane And Oxbow,"January 22, 2016",82,75
Shirley Collins,Lodestar,"November 4, 2016",82,58
The Radio Dept.,Running out of Love,"October 21, 2016",82,76
Parquet Courts,Human Performance,"April 8, 2016",82,81
Cat's Eyes,Treasure House,"June 3, 2016",82,66
Courtney Marie Andrews,Honest Life,"August 19, 2016",82,0
Roly Porter,Third Law,"January 22, 2016",82,73
Laura Mvula,The Dreaming Room,"June 17, 2016",82,85
"Bonnie ""Prince"" Billy",Epic Jammers and Fortunate Little Ditties,"March 18, 2016",82,0
Savages,Adore Life,"January 22, 2016",82,77
Shovels & Rope,Little Seeds,"October 7, 2016",82,63
Ed Harcourt,Furnaces,"August 19, 2016",82,74
Vijay Iyer,A Cosmic Rhythm with Each Stroke,"March 25, 2016",82,75
Lydia Loveless,Real,"August 19, 2016",82,68
Bonnie Raitt,Dig in Deep,"February 26, 2016",82,65
Weyes Blood,Front Row Seat to Earth,"October 21, 2016",82,83
